Customer_Id,Username,CreditScore,CreditScore,Region,Gender,Age,Tenure,Balance,NumofProduct,HasCard,ActiveMember,EstimatedSalary,Exited
15634602,Hargrave,619,Below Average,France,Female,42,2,0,1,1,1,101348,Yes
15647311,Hill,608,Below Average,Spain,Female,41,1,83807,1,0,1,112542,No
15619304,Onio,502,Below Average,France,Female,42,8,159660,3,1,0,113931,Yes
15701354,Boni,699,Above Average,France,Female,39,1,0,2,0,0,93826,No
15737888,Mitchell,850,High,Spain,Female,43,2,125510,1,1,1,79084,No
15574012,Chu,645,Below Average,Spain,Male,44,8,113755,2,1,0,149756,Yes
15592531,Bartlett,822,High,France,Male,50,7,0,2,1,1,10062,No
15656148,Obinna,376,Below Average,Germany,Female,29,4,115046,4,1,0,119346,Yes
15792365,He,501,Below Average,France,Male,44,4,142051,2,0,1,74940,No
15592389,H?,684,Above Average,France,Male,27,2,134603,1,1,1,71725,No
15767821,Bearce,528,Below Average,France,Male,31,6,102016,2,0,0,80181,No
15737173,Andrews,497,Below Average,Spain,Male,24,3,0,2,1,0,76390,No
15632264,Kay,476,Below Average,France,Female,34,10,0,2,1,0,26260,No
15691483,Chin,549,Below Average,France,Female,25,5,0,2,0,0,190857,No
15600882,Scott,635,Below Average,Spain,Female,35,7,0,2,1,1,65951,No
15643966,Goforth,616,Below Average,Germany,Male,45,3,143129,2,0,1,64327,No
15737452,Romeo,653,Above Average,Germany,Male,58,1,132602,1,1,0,5097,Yes
15788218,Henderson,549,Below Average,Spain,Female,24,9,0,2,1,1,14406,No
15661507,Muldrow,587,Below Average,Spain,Male,45,6,0,1,0,0,158684,No
15568982,Hao,726,High,France,Female,24,6,0,2,1,1,54724,No
15577657,McDonald,732,High,France,Male,41,8,0,2,1,1,170886,No
15597945,Dellucci,636,Below Average,Spain,Female,32,8,0,2,1,0,138555,No
15699309,Gerasimov,510,Below Average,Spain,Female,38,4,0,1,1,0,118913,Yes
15725737,Mosman,669,Above Average,France,Male,46,3,0,2,0,1,8487,No
15625047,Yen,846,High,France,Female,38,5,0,1,1,1,187616,No
15738191,Maclean,577,Below Average,France,Male,25,3,0,2,0,1,124508,No
15736816,Young,756,High,Germany,Male,36,2,136815,1,1,1,170041,No
15700772,Nebechi,571,Below Average,France,Male,44,9,0,2,0,0,38433,No
15728693,McWilliams,574,Below Average,Germany,Female,43,3,141349,1,1,1,100187,No
15656300,Lucciano,411,Below Average,France,Male,29,0,59697,2,1,1,53483,No
15589475,Azikiwe,591,Below Average,Spain,Female,39,3,0,3,1,0,140469,Yes
15706552,Odinakachukwu,533,Below Average,France,Male,36,7,85311,1,0,1,156731,No
15750181,Sanderson,553,Below Average,Germany,Male,41,9,110112,2,0,0,81898,No
15659428,Maggard,520,Below Average,Spain,Female,42,6,0,2,1,1,34410,No
15732963,Clements,722,High,Spain,Female,29,9,0,2,1,1,142033,No
15794171,Lombardo,475,Below Average,France,Female,45,0,134264,1,1,0,27822,Yes
15788448,Watson,490,Below Average,Spain,Male,31,3,145260,1,0,1,114066,No
